#,,Caller,Function,Executable,FD,Path,Bytes
102,0,aslevent_log,write,syslogd,10,/var/log/secure.log,251
103,0,file_load,read,nmblookup,3,/var/run/smb.conf,1127
104,0,fileRead,read,SystemUIServer,18,/Users/asampson/Library/Preferences/.GlobalPreferences.plist,8192
105,0,fileRead,read,SystemUIServer,18,/Users/asampson/Library/Preferences/.GlobalPreferences.plist,8192
106,0,0x358b,read,securityd,4,,8
107,0,aslevent_log,write,syslogd,10,/var/log/secure.log,240
108,0,0x358b,read,securityd,4,,8
109,0,bsd_out_sendmsg,write,syslogd,10,/var/log/secure.log,54
110,0,0x358b,read,securityd,4,,8
111,0,0x358b,read,securityd,4,,8
112,0,aslevent_log,write,syslogd,10,/var/log/secure.log,251
113,0,aslevent_log,write,syslogd,10,/var/log/secure.log,240
114,0,bsd_out_sendmsg,write,syslogd,10,/var/log/secure.log,54
115,0,aslevent_log,write,syslogd,10,/var/log/secure.log,251
116,0,0x358b,read,securityd,4,,8
117,0,0x358b,read,securityd,4,,8
118,0,aslevent_log,write,syslogd,10,/var/log/secure.log,240
119,0,bsd_out_sendmsg,write,syslogd,10,/var/log/secure.log,54
120,0,aslevent_log,write,syslogd,10,/var/log/secure.log,251
121,0,dyld::loadPhase4(char const*, dyld::LoadContext const&, std::vector<char const*, std::allocator<char const*> >*),pread,nmblookup,3,/System/Library/PrivateFrameworks/ByteRangeLocking.framework/Versions/A/ByteRangeLocking,4096
122,0,dyld::loadPhase4(char const*, dyld::LoadContext const&, std::vector<char const*, std::allocator<char const*> >*),pread,nmblookup,3,/System/Library/PrivateFrameworks/ByteRangeLocking.framework/Versions/A/ByteRangeLocking,4096
123,0,__CFInitialize,read,nmblookup,4,/Users/asampson/.CFUserTextEncoding,23
124,0,file_load,read,nmblookup,3,/private/etc/smb.conf,2904
125,0,file_load,read,nmblookup,3,/var/run/smb.conf,1127
126,0,0x358b,read,securityd,4,,8
127,0,aslevent_log,write,syslogd,10,/var/log/secure.log,240
128,0,0x358b,read,securityd,4,,8
129,0,bsd_out_sendmsg,write,syslogd,10,/var/log/secure.log,54
130,0,aslevent_log,write,syslogd,10,/var/log/secure.log,251
131,0,__SCNetworkReachabilityGetFlags,write,mDNSResponder,539,,140
132,0,__SCNetworkReachabilityGetFlags,read,mDNSResponder,539,,604
133,0,0x358b,read,securityd,4,,8
134,0,aslevent_log,write,syslogd,10,/var/log/secure.log,240
135,0,0x358b,read,securityd,4,,8
136,0,bsd_out_sendmsg,write,syslogd,10,/var/log/secure.log,54
137,0,aslevent_log,write,syslogd,10,/var/log/secure.log,251
138,0,,read,fseventsd,5,,66943
139,0,,read,mds,6,,102392
